date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:51	56/56	---MC-	302	error ('Found')	text/html	date:Fri,%2018%20Aug%202023%2018:18:46%20GMT	https://kobobid.com/account/buy?utm_source=Scratch+Card+Banner&utm_medium=Banner&utm_campaign=Promo&utm_id=Promo	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/account/buy86d2	(from https://kobobid.com/scratch)
19:18:51	159219/159219	---M--	200	added ('OK')	image/jpeg	etag:%22fb8c12bf6253e4b57edb7582aa539f42%22	https://cdn.kobobid.com/marketing/new-ENJOY-40PERCENT-REWARDS-800X300.jpg?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/marketing/new-ENJOY-40PERCENT-REWARDS-800X3007dba.jpg	(from https://kobobid.com/scratch)
19:18:51	56/56	---MC-	302	error ('Found')	text/html	date:Fri,%2018%20Aug%202023%2018:18:47%20GMT	https://kobobid.com/account/buy?utm_source=Scratch+Card+Banner&utm_medium=Banner&utm_campaign=Promo&utm_id=Promo	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/account/buy86d2	(from https://kobobid.com/scratch)
19:18:52	190802/190802	---M--	200	added ('OK')	image/jpeg	etag:%222f7e9d5550fcadcde7711b08c090bb55%22	https://cdn.kobobid.com/marketing/new-ENJOY-40PERCENT-REWARDS-1400X200.jpg?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/marketing/new-ENJOY-40PERCENT-REWARDS-1400X2007dba.jpg	(from https://kobobid.com/scratch)
19:18:53	139395/139395	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:47%20GMT	https://kobobid.com/scratch_view/6356abd5fea641bdd402fd1e/1k-scratch-and-win/	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/scratch_view/6356abd5fea641bdd402fd1e/1k-scratch-and-win/index.html	(from https://kobobid.com/scratch)
19:18:53	72950/72950	---M--	200	added ('OK')	image/png	etag:%22bda0ed4852db14f1cd243ceb08a0c882%22	https://cdn.kobobid.com/web/scratch_cards/icons/1K-thumb.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/1K-thumb7dba.png	(from https://kobobid.com/scratch)
19:18:53	72950/72950	---M--	200	added ('OK')	image/png	etag:%22bda0ed4852db14f1cd243ceb08a0c882%22	https://cdn.kobobid.com/web/scratch_cards/icons/1K.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/1K7dba.png	(from https://kobobid.com/scratch)
19:18:54	139831/139831	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:49%20GMT	https://kobobid.com/scratch_view/6356abd5fea641bdd402fd1d/2k-scratch-and-win/	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/scratch_view/6356abd5fea641bdd402fd1d/2k-scratch-and-win/index.html	(from https://kobobid.com/scratch)
19:18:54	67493/67493	---M--	200	added ('OK')	image/png	etag:%2244181278a04aebb6fd9fdc8499fb6cf4%22	https://cdn.kobobid.com/web/scratch_cards/icons/2K-thumb.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/2K-thumb7dba.png	(from https://kobobid.com/scratch)
19:18:55	67493/67493	---M--	200	added ('OK')	image/png	etag:%2244181278a04aebb6fd9fdc8499fb6cf4%22	https://cdn.kobobid.com/web/scratch_cards/icons/2K.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/2K7dba.png	(from https://kobobid.com/scratch)
